"","workerid","rt","subjectGender","speakerGender","content","verb","fact","fact_type","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"1",0,14814,"M","F","Josie went on vacation to France","discover","Josie doesn&quotechart have a passport","factL","2","NonProj",0,2,32,"English","Yes","m","f","",4.25455
"2",0,8145,"F","F","Danny ate the last cupcake","think","Danny loves cake","factH","11","NonProj",0.36,3,32,"English","Yes","m","f","",4.25455
"3",0,12102,"F","F","Charley speaks Spanish","inform_Sam","Charley lives in Mexico","factH","20","C",0.43,4,32,"English","Yes","m","f","",4.25455
"4",0,12519,"M","M","Mia drank 2 cocktails last night","admit","Mia is a nun","factL","6","C",0.67,5,32,"English","Yes","m","f","",4.25455
"5",0,5602,"M","F","Emma studied on Saturday morning","pretend","Emma is in law school","factH","3","NonProj",0.5,6,32,"English","Yes","m","f","",4.25455
"6",0,7883,"F","F","Jon walks to work","know","Jon lives 10 miles away from work","factL","19","NonProj",0.29,7,32,"English","Yes","m","f","",4.25455
"7",0,8385,"F","F","Julian dances salsa","reveal","Julian is German","factL","18","NonProj",0.29,8,32,"English","Yes","m","f","",4.25455
"8",0,6351,NA,"M","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.03,9,32,"English","Yes","m","f","",4.25455
"9",0,5361,NA,"M","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0,10,32,"English","Yes","m","f","",4.25455
"10",0,6016,"F","F","Tony had a drink last night","see","Tony really likes to party with his friends","factH","15","NonProj",0.68,11,32,"English","Yes","m","f","",4.25455
"11",0,14018,"M","M","Mary is pregnant","prove","Mary is a middle school student","factL","1","C",0.21,12,32,"English","Yes","m","f","",4.25455
"12",0,12515,"F","M","Jayden rented a car","demonstrate","Jayden&quotechars car is in the shop","factH","14","C",0.3,13,32,"English","Yes","m","f","",4.25455
"13",0,8361,"M","M","Emily bought a car yesterday","hear","Emily never has any money","factL","8","C",0.22,14,32,"English","Yes","m","f","",4.25455
"14",0,6198,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0,15,32,"English","Yes","m","f","",4.25455
"15",0,5447,"M","F","Sophia got a tattoo","be_right_that","Sophia is a hipster","factH","5","C",0,16,32,"English","Yes","m","f","",4.25455
"16",0,12928,"F","M","Jackson ran 10 miles","announce","Jackson is obese","factL","13","C",0,17,32,"English","Yes","m","f","",4.25455
"17",0,8340,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0,18,32,"English","Yes","m","f","",4.25455
"18",0,4974,"M","M","Isabella ate a steak on Sunday","annoyed","Isabella is a vegetarian","factL","7","NonProj",0.78,19,32,"English","Yes","m","f","",4.25455
"19",0,6425,"M","M","Olivia sleeps until noon","say","Olivia works the third shift","factH","4","C",0.14,20,32,"English","Yes","m","f","",4.25455
"20",0,4944,NA,"M","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0,21,32,"English","Yes","m","f","",4.25455
"21",0,11580,"F","F","Owen shoveled snow last winter","suggest","Owen lives in New Orleans","factL","17","C",0.03,22,32,"English","Yes","m","f","",4.25455
"22",0,4398,"F","F","Josh learned to ride a bike yesterday","confess","Josh is a 5-year old boy","factH","16","C",0.03,23,32,"English","Yes","m","f","",4.25455
"23",0,6352,"M","M","Grace visited her sister","establish","Grace hates her sister","factL","9","NonProj",0.18,24,32,"English","Yes","m","f","",4.25455
"24",0,5720,NA,"M","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0,25,32,"English","Yes","m","f","",4.25455
"25",0,5988,"M","F","Zoe calculated the tip","acknowledge","Zoe is a math major","factH","10","C",0.18,26,32,"English","Yes","m","f","",4.25455
"26",0,23268,"F","M","Frank got a cat","confirm","Frank has always wanted a pet","factH","12","C",0.04,27,32,"English","Yes","m","f","",4.25455
"27",1,12703,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.15,2,24,"english","Yes","m","f","",3.60326666666667
"28",1,10907,"M","M","Isabella ate a steak on Sunday","establish","Isabella is a vegetarian","factL","7","NonProj",0.28,3,24,"english","Yes","m","f","",3.60326666666667
"29",1,5400,"M","F","Josie went on vacation to France","announce","Josie doesn&quotechart have a passport","factL","2","C",0.61,4,24,"english","Yes","m","f","",3.60326666666667
"30",1,3453,NA,"M","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.16,5,24,"english","Yes","m","f","",3.60326666666667
"31",1,2425,"F","M","Charley speaks Spanish","admit","Charley lives in Mexico","factH","20","C",0.57,6,24,"english","Yes","m","f","",3.60326666666667
"32",1,8411,NA,"F","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.15,7,24,"english","Yes","m","f","",3.60326666666667
"33",1,3446,"M","M","Sophia got a tattoo","annoyed","Sophia is a high end fashion model","factL","5","NonProj",0.25,8,24,"english","Yes","m","f","",3.60326666666667
"34",1,2898,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.68,9,24,"english","Yes","m","f","",3.60326666666667
"35",1,4599,"M","F","Zoe calculated the tip","be_right_that","Zoe is a math major","factH","10","C",0.19,10,24,"english","Yes","m","f","",3.60326666666667
"36",1,8058,NA,"M","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.09,11,24,"english","Yes","m","f","",3.60326666666667
"37",1,3196,"M","F","Olivia sleeps until noon","see","Olivia works the third shift","factH","4","NonProj",0.28,12,24,"english","Yes","m","f","",3.60326666666667
"38",1,14541,"M","F","Mary is pregnant","acknowledge","Mary is a middle school student","factL","1","C",0.92,13,24,"english","Yes","m","f","",3.60326666666667
"39",1,4867,"F","F","Frank got a cat","reveal","Frank has always wanted a pet","factH","12","NonProj",0.69,14,24,"english","Yes","m","f","",3.60326666666667
"40",1,11256,"F","F","Owen shoveled snow last winter","think","Owen lives in New Orleans","factL","17","NonProj",0.16,15,24,"english","Yes","m","f","",3.60326666666667
"41",1,41007,"M","F","Emma studied on Saturday morning","know","Emma is in law school","factH","3","NonProj",0.84,16,24,"english","Yes","m","f","",3.60326666666667
"42",1,10295,"M","F","Mia drank 2 cocktails last night","hear","Mia is a nun","factL","6","C",0.83,17,24,"english","Yes","m","f","",3.60326666666667
"43",1,2870,"M","F","Grace visited her sister","demonstrate","Grace loves her sister","factH","9","C",0.72,18,24,"english","Yes","m","f","",3.60326666666667
"44",1,2337,"F","F","Jayden rented a car","confirm","Jayden doesn&quotechart have a driver&quotechars license","factL","14","C",0.93,19,24,"english","Yes","m","f","",3.60326666666667
"45",1,3692,"F","F","Julian dances salsa","pretend","Julian is Cuban","factH","18","NonProj",0.66,20,24,"english","Yes","m","f","",3.60326666666667
"46",1,2114,"F","M","Danny ate the last cupcake","suggest","Danny is a diabetic","factL","11","C",0.3,21,24,"english","Yes","m","f","",3.60326666666667
"47",1,5458,"F","F","Jon walks to work","confess","Jon lives 10 miles away from work","factL","19","C",0.71,22,24,"english","Yes","m","f","",3.60326666666667
"48",1,5235,"F","F","Josh learned to ride a bike yesterday","prove","Josh is a 5-year old boy","factH","16","C",0.89,23,24,"english","Yes","m","f","",3.60326666666667
"49",1,6631,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.18,24,24,"english","Yes","m","f","",3.60326666666667
"50",1,2448,"F","F","Tony had a drink last night","discover","Tony has been sober for 20 years","factL","15","NonProj",0.75,25,24,"english","Yes","m","f","",3.60326666666667
"51",1,2083,"M","F","Emily bought a car yesterday","inform_Sam","Emily has been saving for a year","factH","8","C",0.84,26,24,"english","Yes","m","f","",3.60326666666667
"52",1,1979,"F","M","Jackson ran 10 miles","say","Jackson is training for a marathon","factH","13","C",0.69,27,24,"english","Yes","m","f","",3.60326666666667
"53",2,10860,"M","F","Mia drank 2 cocktails last night","discover","Mia is a college student","factH","6","NonProj",0.99,2,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"54",2,14063,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.08,3,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"55",2,14962,"M","M","Olivia sleeps until noon","establish","Olivia has two small children","factL","4","NonProj",0.73,4,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"56",2,8162,"M","F","Mary is pregnant","suggest","Mary is a middle school student","factL","1","C",0,5,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"57",2,9276,"M","F","Emma studied on Saturday morning","confess","Emma is in first grade","factL","3","C",0.04,6,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"58",2,11230,"F","F","Tony had a drink last night","demonstrate","Tony really likes to party with his friends","factH","15","C",0.01,7,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"59",2,8655,"F","M","Jayden rented a car","prove","Jayden&quotechars car is in the shop","factH","14","C",0.17,8,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"60",2,10682,"F","F","Jackson ran 10 miles","confirm","Jackson is training for a marathon","factH","13","C",0.03,9,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"61",2,11029,"F","M","Danny ate the last cupcake","admit","Danny loves cake","factH","11","C",0.01,10,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"62",2,26524,"M","F","Josie went on vacation to France","hear","Josie doesn&quotechart have a passport","factL","2","C",0.01,11,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"63",2,13312,"M","F","Grace visited her sister","acknowledge","Grace hates her sister","factL","9","C",0.09,12,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"64",2,8290,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.01,13,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"65",2,11720,"F","F","Owen shoveled snow last winter","reveal","Owen lives in New Orleans","factL","17","NonProj",0.02,14,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"66",2,13558,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.01,15,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"67",2,8837,"F","M","Frank got a cat","say","Frank has always wanted a pet","factH","12","C",0.77,16,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"68",2,11738,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.01,17,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"69",2,6721,"F","F","Jon walks to work","announce","Jon lives 2 blocks away from work","factH","19","C",0.79,18,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"70",2,13579,"M","F","Emily bought a car yesterday","inform_Sam","Emily never has any money","factL","8","C",0.7,19,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"71",2,8157,"F","F","Josh learned to ride a bike yesterday","know","Josh is a 75-year old man","factL","16","NonProj",0.98,20,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"72",2,8558,"M","F","Isabella ate a steak on Sunday","annoyed","Isabella is from Argentina","factH","7","NonProj",0.99,21,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"73",2,8653,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.02,22,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"74",2,9808,"M","F","Sophia got a tattoo","be_right_that","Sophia is a high end fashion model","factL","5","C",0.65,23,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"75",2,14509,"F","M","Charley speaks Spanish","pretend","Charley lives in Mexico","factH","20","NonProj",0.03,24,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"76",2,11100,"F","F","Julian dances salsa","see","Julian is German","factL","18","NonProj",0.99,25,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"77",2,6346,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.02,26,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"78",2,14285,"M","F","Zoe calculated the tip","think","Zoe is a math major","factH","10","NonProj",0.79,27,39,"1","Yes","m","f","The price you have is fair. ",6.59895
"79",3,12712,"M","F","Sophia got a tattoo","reveal","Sophia is a high end fashion model","factL","5","NonProj",0.97,2,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"80",3,17995,"F","F","Owen shoveled snow last winter","see","Owen lives in New Orleans","factL","17","NonProj",0.96,3,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"81",3,11168,"M","M","Josie went on vacation to France","hear","Josie loves France","factH","2","C",0.98,4,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"82",3,21869,"M","F","Emily bought a car yesterday","annoyed","Emily never has any money","factL","8","NonProj",0.97,5,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"83",3,12277,"F","M","Frank got a cat","know","Frank is allergic to cats","factL","12","NonProj",0.98,6,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"84",3,14077,"F","F","Jackson ran 10 miles","be_right_that","Jackson is training for a marathon","factH","13","C",0.03,7,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"85",3,19604,"F","F","Jayden rented a car","demonstrate","Jayden&quotechars car is in the shop","factH","14","C",0.21,8,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"86",3,9812,"F","F","Tony had a drink last night","establish","Tony has been sober for 20 years","factL","15","NonProj",0.03,9,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"87",3,11452,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.03,10,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"88",3,18558,"M","F","Mary is pregnant","acknowledge","Mary is a middle school student","factL","1","C",0.94,11,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"89",3,15414,"M","M","Isabella ate a steak on Sunday","prove","Isabella is from Argentina","factH","7","C",0.1,12,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"90",3,17534,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.05,13,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"91",3,14057,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.01,14,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"92",3,13685,"F","F","Josh learned to ride a bike yesterday","say","Josh is a 75-year old man","factL","16","C",0,15,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"93",3,11672,"F","F","Danny ate the last cupcake","confirm","Danny loves cake","factH","11","C",0.05,16,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"94",3,14572,"F","F","Charley speaks Spanish","confess","Charley lives in Korea","factL","20","C",1,17,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"95",3,8624,NA,"F","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0,18,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"96",3,8274,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.03,19,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"97",3,13209,"M","M","Zoe calculated the tip","discover","Zoe is a math major","factH","10","NonProj",1,20,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"98",3,10443,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.02,21,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"99",3,11856,"M","M","Grace visited her sister","inform_Sam","Grace loves her sister","factH","9","C",1,22,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"100",3,13221,"M","F","Emma studied on Saturday morning","pretend","Emma is in first grade","factL","3","NonProj",0,23,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"101",3,13988,"F","M","Julian dances salsa","announce","Julian is Cuban","factH","18","C",1,24,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"102",3,12151,"M","F","Olivia sleeps until noon","admit","Olivia works the third shift","factH","4","C",0.98,25,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"103",3,10812,"F","F","Jon walks to work","suggest","Jon lives 10 miles away from work","factL","19","C",0,26,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"104",3,11171,"M","F","Mia drank 2 cocktails last night","think","Mia is a college student","factH","6","NonProj",0.03,27,28,"English","Yes","m","m","Simple experiment, easy to understand. Compensation was very fair. Thanks!",7.03488333333333
"105",4,11707,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.5,2,28,"english","Yes","m","m","thanks",9.27421666666667
"106",4,9732,"M","M","Zoe calculated the tip","prove","Zoe is 5 years old","factL","10","C",0.1,3,28,"english","Yes","m","m","thanks",9.27421666666667
"107",4,33554,"M","M","Emma studied on Saturday morning","annoyed","Emma is in law school","factH","3","NonProj",0.6,4,28,"english","Yes","m","m","thanks",9.27421666666667
"108",4,6935,"M","F","Josie went on vacation to France","admit","Josie loves France","factH","2","C",0.76,5,28,"english","Yes","m","m","thanks",9.27421666666667
"109",4,10348,"F","M","Jon walks to work","confess","Jon lives 10 miles away from work","factL","19","C",0.04,6,28,"english","Yes","m","m","thanks",9.27421666666667
"110",4,23343,"M","M","Olivia sleeps until noon","confirm","Olivia works the third shift","factH","4","C",0.69,7,28,"english","Yes","m","m","thanks",9.27421666666667
"111",4,6267,NA,"M","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.52,8,28,"english","Yes","m","m","thanks",9.27421666666667
"112",4,10169,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.51,9,28,"english","Yes","m","m","thanks",9.27421666666667
"113",4,8210,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.52,10,28,"english","Yes","m","m","thanks",9.27421666666667
"114",4,8814,"F","F","Frank got a cat","be_right_that","Frank is allergic to cats","factL","12","C",0.28,11,28,"english","Yes","m","m","thanks",9.27421666666667
"115",4,37477,"F","F","Charley speaks Spanish","demonstrate","Charley lives in Mexico","factH","20","C",0.71,12,28,"english","Yes","m","m","thanks",9.27421666666667
"116",4,21620,"M","F","Sophia got a tattoo","say","Sophia is a high end fashion model","factL","5","C",0.63,13,28,"english","Yes","m","m","thanks",9.27421666666667
"117",4,7583,"M","F","Mary is pregnant","see","Mary is taking a prenatal yoga class","factH","1","NonProj",0.7,14,28,"english","Yes","m","m","thanks",9.27421666666667
"118",4,13894,"M","F","Emily bought a car yesterday","establish","Emily never has any money","factL","8","NonProj",0.02,15,28,"english","Yes","m","m","thanks",9.27421666666667
"119",4,7668,"F","M","Jackson ran 10 miles","inform_Sam","Jackson is training for a marathon","factH","13","C",0.63,16,28,"english","Yes","m","m","thanks",9.27421666666667
"120",4,5967,"F","F","Danny ate the last cupcake","acknowledge","Danny is a diabetic","factL","11","C",0.02,17,28,"english","Yes","m","m","thanks",9.27421666666667
"121",4,8351,"F","F","Josh learned to ride a bike yesterday","discover","Josh is a 75-year old man","factL","16","NonProj",0.04,18,28,"english","Yes","m","m","thanks",9.27421666666667
"122",4,9031,"F","M","Owen shoveled snow last winter","think","Owen lives in Chicago","factH","17","NonProj",0.7,19,28,"english","Yes","m","m","thanks",9.27421666666667
"123",4,6437,"F","M","Jayden rented a car","reveal","Jayden doesn&quotechart have a driver&quotechars license","factL","14","NonProj",0,20,28,"english","Yes","m","m","thanks",9.27421666666667
